,ds,y
782,2023-02-21 13:00:00,39.0
783,2023-02-21 13:10:00,39.0
784,2023-02-21 13:20:00,39.0
785,2023-02-21 13:30:00,39.38461538461539
786,2023-02-21 13:40:00,40.0
787,2023-02-21 13:50:00,40.0
788,2023-02-21 14:00:00,40.0
789,2023-02-21 14:10:00,40.0
790,2023-02-21 14:20:00,40.0
791,2023-02-21 14:30:00,40.0
792,2023-02-21 14:40:00,40.0
793,2023-02-21 14:50:00,40.0
794,2023-02-21 15:00:00,40.0
795,2023-02-21 15:10:00,40.0
796,2023-02-21 15:20:00,40.0
797,2023-02-21 15:30:00,40.0
798,2023-02-21 15:40:00,40.0
799,2023-02-21 15:50:00,40.0
800,2023-02-21 16:00:00,40.0
801,2023-02-21 16:10:00,40.0
802,2023-02-21 16:20:00,40.0
803,2023-02-21 16:30:00,40.91666666666666
804,2023-02-21 16:40:00,41.0
805,2023-02-21 16:50:00,41.0
806,2023-02-21 17:00:00,41.0
807,2023-02-21 17:10:00,41.0
808,2023-02-21 17:20:00,41.0
809,2023-02-21 17:30:00,41.0
810,2023-02-21 17:40:00,41.0
811,2023-02-21 17:50:00,41.0
812,2023-02-21 18:00:00,41.0
813,2023-02-21 18:10:00,41.0
814,2023-02-21 18:20:00,41.0
815,2023-02-21 18:30:00,41.0
816,2023-02-21 18:40:00,41.0
817,2023-02-21 18:50:00,41.5625
818,2023-02-21 19:00:00,42.0
819,2023-02-21 19:10:00,42.0
820,2023-02-21 19:20:00,42.0
821,2023-02-21 19:30:00,42.0
822,2023-02-21 19:40:00,42.0
823,2023-02-21 19:50:00,42.0
824,2023-02-21 20:00:00,41.2
825,2023-02-21 20:10:00,41.0
826,2023-02-21 20:20:00,41.0
827,2023-02-21 20:30:00,41.0
828,2023-02-21 20:40:00,41.0
829,2023-02-21 20:50:00,41.0
830,2023-02-21 21:00:00,41.0
831,2023-02-21 21:10:00,41.0
832,2023-02-21 21:20:00,41.0
833,2023-02-21 21:30:00,41.0
834,2023-02-21 21:40:00,41.0
835,2023-02-21 21:50:00,41.0
836,2023-02-21 22:00:00,41.0
837,2023-02-21 22:10:00,41.0
838,2023-02-21 22:20:00,41.0
839,2023-02-21 22:30:00,41.0
840,2023-02-21 22:40:00,41.0
841,2023-02-21 22:50:00,41.0
842,2023-02-21 23:00:00,41.0
843,2023-02-21 23:10:00,41.0
844,2023-02-21 23:20:00,41.0
845,2023-02-21 23:30:00,41.0
846,2023-02-21 23:40:00,41.0
847,2023-02-21 23:50:00,41.0
848,2023-02-22 00:00:00,40.5
849,2023-02-22 00:10:00,40.0
850,2023-02-22 00:20:00,40.0
851,2023-02-22 00:30:00,40.0
852,2023-02-22 00:40:00,40.0
853,2023-02-22 00:50:00,40.0
854,2023-02-22 01:00:00,40.0
855,2023-02-22 01:10:00,40.0
856,2023-02-22 01:20:00,40.0
857,2023-02-22 01:30:00,40.0
858,2023-02-22 01:40:00,40.0
859,2023-02-22 01:50:00,40.0
860,2023-02-22 02:00:00,40.0
861,2023-02-22 02:10:00,40.0
862,2023-02-22 02:20:00,40.0
863,2023-02-22 02:30:00,40.0
864,2023-02-22 02:40:00,40.0
865,2023-02-22 02:50:00,40.0
866,2023-02-22 03:00:00,40.0
867,2023-02-22 03:10:00,40.0
868,2023-02-22 03:20:00,40.0
869,2023-02-22 03:30:00,40.0
870,2023-02-22 03:40:00,40.0
871,2023-02-22 03:50:00,40.0
872,2023-02-22 04:00:00,40.0
873,2023-02-22 04:10:00,40.0
874,2023-02-22 04:20:00,40.0
875,2023-02-22 04:30:00,40.0
876,2023-02-22 04:40:00,40.0
877,2023-02-22 04:50:00,40.0
878,2023-02-22 05:00:00,40.0
879,2023-02-22 05:10:00,40.0
880,2023-02-22 05:20:00,40.0
881,2023-02-22 05:30:00,40.0
882,2023-02-22 05:40:00,40.0
883,2023-02-22 05:50:00,40.0
884,2023-02-22 06:00:00,40.0
885,2023-02-22 06:10:00,40.0
886,2023-02-22 06:20:00,40.0
887,2023-02-22 06:30:00,40.0
888,2023-02-22 06:40:00,40.0
889,2023-02-22 06:50:00,40.0
890,2023-02-22 07:00:00,40.0
891,2023-02-22 07:10:00,40.0
892,2023-02-22 07:20:00,40.0
893,2023-02-22 07:30:00,40.0
894,2023-02-22 07:40:00,40.0
895,2023-02-22 07:50:00,40.0
896,2023-02-22 08:00:00,40.0
897,2023-02-22 08:10:00,40.0
898,2023-02-22 08:20:00,40.0
899,2023-02-22 08:30:00,39.76923076923077
900,2023-02-22 08:40:00,39.75
901,2023-02-22 08:50:00,39.47058823529412
902,2023-02-22 09:00:00,39.0
903,2023-02-22 09:10:00,39.0
904,2023-02-22 09:20:00,39.0
905,2023-02-22 09:30:00,39.0
906,2023-02-22 09:40:00,39.0
907,2023-02-22 09:50:00,39.0
908,2023-02-22 10:00:00,39.0
909,2023-02-22 10:10:00,39.0
910,2023-02-22 10:20:00,39.0
911,2023-02-22 10:30:00,39.0
912,2023-02-22 10:40:00,39.0
913,2023-02-22 10:50:00,39.0
914,2023-02-22 11:00:00,39.0
915,2023-02-22 11:10:00,39.0
916,2023-02-22 11:20:00,39.0
917,2023-02-22 11:30:00,39.0
918,2023-02-22 11:40:00,39.142857142857146
919,2023-02-22 11:50:00,39.46153846153846
920,2023-02-22 12:00:00,40.0
921,2023-02-22 12:10:00,40.0
922,2023-02-22 12:20:00,40.0
923,2023-02-22 12:30:00,40.0
924,2023-02-22 12:40:00,40.0
925,2023-02-22 12:50:00,40.0
926,2023-02-22 13:00:00,40.0
927,2023-02-22 13:10:00,40.0
928,2023-02-22 13:20:00,40.8
929,2023-02-22 13:30:00,41.0
930,2023-02-22 13:40:00,41.0
931,2023-02-22 13:50:00,41.0
932,2023-02-22 14:00:00,41.0
933,2023-02-22 14:10:00,41.57142857142857
934,2023-02-22 14:20:00,42.0
935,2023-02-22 14:30:00,42.0
936,2023-02-22 14:40:00,42.0
937,2023-02-22 14:50:00,42.07142857142857
938,2023-02-22 15:00:00,43.0
939,2023-02-22 15:10:00,43.0
940,2023-02-22 15:20:00,43.0
941,2023-02-22 15:30:00,43.0
942,2023-02-22 15:40:00,43.0
943,2023-02-22 15:50:00,43.0
944,2023-02-22 16:00:00,43.90909090909091
945,2023-02-22 16:10:00,44.0
946,2023-02-22 16:20:00,44.0
947,2023-02-22 16:30:00,44.0
948,2023-02-22 16:40:00,44.0
949,2023-02-22 16:50:00,44.0
950,2023-02-22 17:00:00,44.0
